Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0145840821	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0291681642	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0437522463	0	0	0	0	0	0	0	0	0	0	3
4	5	0	0.0583363284	0	0	0	0	0	0	0	0	0	0	3
5	6	0	0.0729204105	0	0	0	0	0	0	0	0	0	0	3
6	6	0	0.0875044927	0	0	0	0	0	0	0	0	0	0	3
7	7	0	0.102088575	0	0	0	0	0	0	0	0	0	0	3
8	8	0	0.116672657	0	0	0	0	0	0	0	0	0	0	3
9	8	0	0.131256739	0	0	0	0	0	0	0	0	0	0	3
10	9	0	0.145840821	0	0	0	0	0	0	0	0	0	0	3
11	10	0	0.160424903	0	0	0	0	0	0	0	0	0	0	3
12	10	0	0.175008985	0	0	0	0	0	0	0	0	0	0	3
13	11	0	0.189593067	0	0	0	0	0	0	0	0	0	0	3
14	12	0	0.20417715	0	0	0	0	0	0	0	0	0	0	3
15	12	0	0.218761232	0	0	0	0	0	0	0	0	0	0	3
16	13	0	0.233345314	0	0	0	0	0	0	0	0	0	0	3
17	14	0	0.247929396	0	0	0	0	0	0	0	0	0	0	3
18	14	0	0.262513478	0	0	0	0	0	0	0	0	0	0	3
19	15	0	0.27709756	0	0	0	0	0	0	0	0	0	0	3
20	16	0	0.291681642	0	0	0	0	0	0	0	0	0	0	3
21	16	0	0.306265724	0	0	0	0	0	0	0	0	0	0	3
22	17	0	0.320849806	0	0	0	0	0	0	0	0	0	0	3
23	18	0	0.335433889	0	0	0	0	0	0	0	0	0	0	3
24	18	0	0.350017971	0	0	0	0	0	0	0	0	0	0	3
25	19	0	0.364602053	0	0	0	0	0	0	0	0	0	0	3
26	20	0	0.379186135	0	0	0	0	0	0	0	0	0	0	3
27	20	0	0.393770217	0	0	0	0	0	0	0	0	0	0	3
28	21	0	0.408354299	0	0	0	0	0	0	0	0	0	0	3
29	22	0	0.422938381	0	0	0	0	0	0	0	0	0	0	3
30	22	0	0.437522463	0	0	0	0	0	0	0	0	0	0	3
31	23	0	0.452106545	0	0	0	0	0	0	0	0	0	0	3
32	24	0	0.466690628	0	0	0	0	0	0	0	0	0	0	3
33	24	0	0.48127471	0	0	0	0	0	0	0	0	0	0	3
34	25	0	0.495858792	0	0	0	0	0	0	0	0	0	0	3
35	26	0	0.510442874	0	0	0	0	0	0	0	0	0	0	3
36	26	0	0.525026956	0	0	0	0	0	0	0	0	0	0	3
37	27	0	0.539611038	0	0	0	0	0	0	0	0	0	0	3
38	28	0	0.55419512	0	0	0	0	0	0	0	0	0	0	3
39	29	0	0.568779202	0	0	0	0	0	0	0	0	0	0	3
40	29	0	0.583363284	0	0	0	0	0	0	0	0	0	0	3
41	30	0	0.597947366	0	0	0	0	0	0	0	0	0	0	3
42	31	0	0.612531449	0	0	0	0	0	0	0	0	0	0	3
43	31	0	0.627115531	0	0	0	0	0	0	0	0	0	0	3
44	32	0	0.641699613	0	0	0	0	0	0	0	0	0	0	3
45	33	0	0.656283695	0	0	0	0	0	0	0	0	0	0	3
46	33	0	0.670867777	0	0	0	0	0	0	0	0	0	0	3
47	34	0	0.685451859	0	0	0	0	0	0	0	0	0	0	3
48	35	0	0.700035941	0	0	0	0	0	0	0	0	0	0	3
49	35	0	0.714620023	0	0	0	0	0	0	0	0	0	0	3
50	36	0	0.729204105	0	0	0	0	0	0	0	0	0	0	3
51	37	0	0.743788188	0	0	0	0	0	0	0	0	0	0	3
52	37	0	0.75837227	0	0	0	0	0	0	0	0	0	0	3
53	38	0	0.772956352	0	0	0	0	0	0	0	0	0	0	3
54	38	0	0.787540434	0	0	0	0	0	0	0	0	0	0	3
55	39	0	0.802124516	0	0	0	0	0	0	0	0	0	0	3
56	40	0	0.816708598	0	0	0	0	0	0	0	0	0	0	3
57	40	0	0.83129268	0	0	0	0	0	0	0	0	0	0	3
58	41	0	0.845876762	0	0	0	0	0	0	0	0	0	0	3
59	42	0	0.860460844	0	0	0	0	0	0	0	0	0	0	3
60	42	0	0.875044927	0	0	0	0	0	0	0	0	0	0	3
61	43	0	0.889629009	0	0	0	0	0	0	0	0	0	0	3
62	43	0	0.904213091	0	0	0	0	0	0	0	0	0	0	3
63	44	0	0.918797173	0	0	0	0	0	0	0	0	0	0	3
64	45	0	0.933381255	0	0	0	0	0	0	0	0	0	0	3
65	45	0	0.947965337	0	0	0	0	0	0	0	0	0	0	3
66	46	0	0.962549419	0	0	0	0	0	0	0	0	0	0	3
67	46	0	0.977133501	0	0	0	0	0	0	0	0	0	0	3
68	47	0	0.991717583	0	0	0	0	0	0	0	0	0	0	3
69	47	0	1.00630167	0	0	0	0	0	0.001	0	100	0	0	3
70	48	0	1.02088575	0	0	0	0	0	0.001	0	100	0	0	3
71	49	0	1.03546983	0	0	0	0	0	0.001	0	100	0	0	3
72	49	0	1.05005391	0	0	0	0	0	0.001	0	100	0	0	3
73	50	0	1.06463799	0	0	0	0	0	0.001	0	100	0	0	3
74	50	0	1.07922208	0	0	0	0	0	0.001	0	100	0	0	3
75	51	0	1.09380616	0	0	0	0	0	0.001	0	100	0	0	3
76	52	0	1.10839024	0	0	0	0	0	0.001	0	100	0	0	3
77	52	0	1.12297432	0	0	0	0	0	0.001	0	100	0	0	3
