Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0145840821	293.284094	293.284094	293.284094	293.284094	0	0	0	0	0	0	3
2	4	0	0.0291681642	293.385781	293.334937	293.284094	293.385781	0.0508431829	0	0	0	0	0	3
3	5	0	0.0437522463	293.49777	293.389215	293.284094	293.49777	0.105120594	0	0	0	0	0	3
4	5	0	0.0583363284	293.610303	293.444487	293.284094	293.610303	0.160392666	0	0	0	0	0	3
5	6	0	0.0729204105	293.713245	293.498238	293.284094	293.713245	0.214144213	0	0	0	0	0	3
6	6	0	0.0875044927	293.802328	293.54892	293.284094	293.802328	0.264825752	0	0	0	0	0	3
7	7	0	0.102088575	293.885254	293.596968	293.284094	293.885254	0.312873521	0	0	0	0	0	3
8	8	0	0.116672657	293.960941	293.642464	293.284094	293.960941	0.358370212	0	0	0	0	0	3
9	8	0	0.131256739	294.008913	293.683181	293.284094	294.008913	0.39908672	0	0	0	0	0	3
10	9	0	0.145840821	294.047242	293.719587	293.284094	294.047242	0.435492806	0	0	0	0	0	3
11	10	0	0.160424903	303.012115	294.564362	293.284094	303.012115	1.28026805	0	0	0	0	0	3
12	10	0	0.175008985	310.140274	295.862355	293.284094	310.140274	2.57826071	0	0	0	0	0	3
13	11	0	0.189593067	314.367522	297.285829	293.284094	314.367522	4.00173511	0	0	0	0	0	3
14	12	0	0.20417715	317.086052	298.700131	293.284094	317.086052	5.41603676	0	0	0	0	0	3
15	12	0	0.218761232	319.11701	300.061256	293.284094	319.11701	6.77716206	0	0	0	0	0	3
16	13	0	0.233345314	321.446268	301.397819	293.284094	321.446268	8.11372529	0	0	0	0	0	3
17	14	0	0.247929396	323.276978	302.684829	293.284094	323.276978	9.40073458	0	0	0	0	0	3
18	14	0	0.262513478	324.782305	303.912466	293.284094	324.782305	10.6283721	0	0	0	0	0	3
19	15	0	0.27709756	326.106813	305.08059	293.284094	326.106813	11.7964957	0	0	0	0	0	3
20	16	0	0.291681642	327.298687	306.191495	293.284094	327.298687	12.9074005	0	0	0	0	0	3
21	16	0	0.306265724	328.901845	307.27294	293.284094	328.901845	13.9888458	0	0	0	0	0	3
22	17	0	0.320849806	330.385379	308.323505	293.284094	330.385379	15.0394111	0	0	0	0	0	3
23	18	0	0.335433889	331.807603	309.344553	293.284094	331.807603	16.0604589	0	0	0	0	0	3
24	18	0	0.350017971	333.197273	310.338416	293.284094	333.197273	17.0543222	0	0	0	0	0	3
25	19	0	0.364602053	334.586584	311.308343	293.284094	334.586584	18.0242489	0	0	0	0	0	3
26	20	0	0.379186135	336.618448	312.281809	293.284094	336.618448	18.9977145	0	0	0	0	0	3
27	20	0	0.393770217	338.616589	313.257171	293.284094	338.616589	19.9730767	0	0	0	0	0	3
28	21	0	0.408354299	340.578868	314.232946	293.284094	340.578868	20.9488516	0	0	0	0	0	3
29	22	0	0.422938381	342.483933	315.207118	293.284094	342.483933	21.9230236	0	0	0	0	0	3
30	22	0	0.437522463	344.303795	316.177007	293.284094	344.303795	22.8929128	0	0	0	0	0	3
31	23	0	0.452106545	346.767109	317.163784	293.284094	346.767109	23.8796903	0	0	0	0	0	3
32	24	0	0.466690628	348.980096	318.158044	293.284094	348.980096	24.87395	0	0	0	0	0	3
33	24	0	0.48127471	350.966649	319.152244	293.284094	350.966649	25.8681501	0	0	0	0	0	3
34	25	0	0.495858792	352.735502	320.139987	293.284094	352.735502	26.855893	0	0	0	0	0	3
35	26	0	0.510442874	354.313145	321.116363	293.284094	354.313145	27.832269	0	0	0	0	0	3
36	26	0	0.525026956	356.259718	322.915667	293.385781	356.259718	29.5807293	0	0	0	0	0	3
37	27	0	0.539611038	357.838019	324.757159	293.49777	357.838019	31.3679444	0	0	0	0	0	3
38	28	0	0.55419512	359.113267	326.631888	293.610303	359.113267	33.1874009	0	0	0	0	0	3
39	29	0	0.568779202	360.155262	328.533172	293.713245	360.155262	35.0349339	0	0	0	0	0	3
40	29	0	0.583363284	361.000575	330.455667	293.802328	361.000575	36.9067475	0	0	0	0	0	3
41	30	0	0.597947366	361.913871	332.401711	293.885254	361.913871	38.8047438	0	0	0	0	0	3
42	31	0	0.612531449	362.581372	334.364458	293.960941	362.581372	40.7219933	0	0	0	0	0	3
43	31	0	0.627115531	363.065799	336.338882	294.008913	363.065799	42.6557013	0	0	0	0	0	3
44	32	0	0.641699613	363.417307	338.321979	294.047242	363.417307	44.6023922	0	0	0	0	0	3
45	33	0	0.656283695	363.670843	340.311225	303.012115	363.670843	45.7468627	0	0	0	0	0	3
46	33	0	0.670867777	363.856816	342.049645	310.140274	363.856816	46.1872901	0	0	0	0	0	3
47	34	0	0.685451859	363.992201	343.588271	314.367522	363.992201	46.3024421	0	0	0	0	0	3
48	35	0	0.700035941	364.090069	345.008916	317.086052	364.090069	46.3087847	0	0	0	0	0	3
49	35	0	0.714620023	364.16144	346.353927	319.11701	364.16144	45.04443	0	0	0	0	0	3
50	36	0	0.729204105	364.214016	347.642413	321.446268	364.214016	42.7677485	0	0	0	0	0	3
51	37	0	0.743788188	364.254228	348.865497	323.276978	364.254228	40.97725	0	0	0	0	0	3
52	37	0	0.75837227	364.282181	350.037074	324.782305	364.282181	39.4998759	0	0	0	0	0	3
53	38	0	0.772956352	364.302419	351.166221	326.106813	364.302419	38.1956059	0	0	0	0	0	3
54	38	0	0.787540434	364.319157	352.258002	327.298687	364.319157	37.0204702	0	0	0	0	0	3
55	39	0	0.802124516	364.331244	353.316075	328.901845	364.331244	35.4293996	0	0	0	0	0	3
56	40	0	0.816708598	364.340543	354.328609	330.385379	364.340543	33.9551644	0	0	0	0	0	3
57	40	0	0.83129268	364.340585	355.298758	331.807603	364.340585	32.5329822	0	0	0	0	0	3
58	41	0	0.845876762	364.349469	356.228525	333.197273	364.349469	31.1521963	0	0	0	0	0	3
59	42	0	0.860460844	364.354003	357.118718	334.586584	364.354003	29.7674192	0	0	0	0	0	3
60	42	0	0.875044927	364.355409	357.969256	336.618448	364.355409	27.7369616	0	0	0	0	0	3
61	43	0	0.889629009	364.359622	358.761861	338.616589	364.359622	25.743033	0	0	0	0	0	3
62	43	0	0.904213091	364.361363	359.497426	340.578868	364.361363	23.7824956	0	0	0	0	0	3
63	44	0	0.918797173	364.362747	360.176965	342.483933	364.362747	21.8788143	0	0	0	0	0	3
64	45	0	0.933381255	364.363729	360.802102	344.303795	364.363729	20.0599342	0	0	0	0	0	3
65	45	0	0.947965337	364.364475	361.375264	346.767109	364.364475	17.5973657	0	0	0	0	0	3
66	46	0	0.962549419	364.365116	361.878064	348.980096	364.365116	15.3850203	0	0	0	0	0	3
67	46	0	0.977133501	364.36549	362.317647	350.966649	364.36549	13.3988412	0	0	0	0	0	3
68	47	0	0.991717583	364.365797	362.70048	352.735502	364.365797	11.6302941	0	0	0	0	0	3
69	47	0	1.00630167	364.365996	363.03278	354.313145	364.365996	10.0528507	2.12604679	0	21.1	0	0	3
70	48	0	1.02088575	364.366161	363.320009	356.259718	364.366161	8.10644335	2.12605176	0	26.2	0	0	3
71	49	0	1.03546983	364.366304	363.551626	357.838019	364.366304	6.52828565	2.1260539	0	32.5	0	0	3
72	49	0	1.05005391	364.366464	363.738153	359.113267	364.366464	5.25319726	2.12604679	0	40.4	0	0	3
73	50	0	1.06463799	364.366617	363.888248	360.155262	364.366617	4.21135467	2.12604679	0	50.4	0	0	3
74	50	0	1.07922208	364.366706	364.008575	361.000575	364.366706	3.36613105	2.12604679	0	63.1	0	0	3
75	51	0	1.09380616	364.366849	364.104755	361.913871	364.366849	2.45297883	2.12604679	0	86.6	0	0	3
76	52	0	1.10839024	364.366884	364.174841	362.581372	364.366884	1.78551131	2.12604679	0	100	0	0	3
77	52	0	1.12297432	364.366963	364.225858	363.065799	364.366963	1.30116373	2.12604679	0	100	0	0	3
