Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
49	35	0	0.714620023	3.50000279	3.4967301	3.48929765	3.50000279	0.0107051453	0	0	0	0	0	3
50	36	0	0.729204105	3.50010775	3.49703896	3.49100046	3.50010775	0.00910728249	0	0	0	0	0	3
51	37	0	0.743788188	3.50029028	3.49730438	3.49290441	3.50029028	0.00738587795	0	0	0	0	0	3
52	37	0	0.75837227	3.49998809	3.49750677	3.4937752	3.50029028	0.00651508503	0	0	0	0	0	3
53	38	0	0.772956352	3.5000718	3.49768668	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
54	38	0	0.787540434	3.49999638	3.49780319	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
55	39	0	0.802124516	3.50003182	3.49790731	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
56	40	0	0.816708598	3.50008304	3.49804865	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
57	40	0	0.83129268	3.49909311	3.49815964	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
58	41	0	0.845876762	3.49989775	3.49825568	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
59	42	0	0.860460844	3.50000288	3.49837	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
60	42	0	0.875044927	3.5000616	3.49845401	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
61	43	0	0.889629009	3.49994177	3.49858132	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
62	43	0	0.904213091	3.50001363	3.49872602	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
63	44	0	0.918797173	3.50000887	3.49884637	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
64	45	0	0.933381255	3.50003552	3.49893798	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
65	45	0	0.947965337	3.50000867	3.49902407	3.49420387	3.50029028	0.00608641276	0	0	0	0	0	3
66	46	0	0.962549419	3.50001764	3.49919018	3.49435142	3.50029028	0.00593886062	0	0	0	0	0	3
67	46	0	0.977133501	3.50002431	3.49935226	3.49688907	3.50029028	0.00340121454	0	0	0	0	0	3
68	47	0	0.991717583	3.50002695	3.49944191	3.49715744	3.50029028	0.003132845	0	0	0	0	0	3
69	47	0	1.00630167	3.5000231	3.49952072	3.49715744	3.50029028	0.003132845	0.160368466	0	100	0	0	3
70	48	0	1.02088575	3.50002471	3.49957918	3.49715744	3.50029028	0.003132845	0.160368466	0	100	0	0	3
71	49	0	1.03546983	3.50001392	3.49964937	3.49715744	3.50029028	0.003132845	0.160368466	0	100	0	0	3
72	49	0	1.05005391	3.50002114	3.49973119	3.49747617	3.50029028	0.00281411202	0.160368466	0	100	0	0	3
73	50	0	1.06463799	3.50000981	3.49980358	3.49810705	3.50029028	0.00218323174	0.160368466	0	100	0	0	3
74	50	0	1.07922208	3.50001801	3.49985817	3.49863429	3.50029028	0.00165599301	0.160368466	0	100	0	0	3
75	51	0	1.09380616	3.50000452	3.49989732	3.49871899	3.50029028	0.00157129489	0.160368466	0	100	0	0	3
76	52	0	1.10839024	3.50001634	3.49993439	3.49909311	3.50029028	0.00119717652	0.160368466	0	100	0	0	3
77	52	0	1.12297432	3.50000246	3.49995896	3.49909311	3.50029028	0.00119717652	0.160368466	0	100	0	0	3
