Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0145840821	101325.197	101325.197	101325.197	101325.197	0	0	0	0	0	0	3
2	4	0	0.0291681642	101325.529	101325.363	101325.197	101325.529	0.166223623	0	0	0	0	0	3
3	5	0	0.0437522463	101326.173	101325.633	101325.197	101326.173	0.436268733	0	0	0	0	0	3
4	5	0	0.0583363284	101327.203	101326.026	101325.197	101327.203	0.828788446	0	0	0	0	0	3
5	6	0	0.0729204105	101328.771	101326.575	101325.197	101328.771	1.37789232	0	0	0	0	0	3
6	6	0	0.0875044927	101333.611	101327.747	101325.197	101333.611	2.55062409	0	0	0	0	0	3
7	7	0	0.102088575	101352.596	101331.297	101325.197	101352.596	6.10043651	0	0	0	0	0	3
8	8	0	0.116672657	101417.036	101342.015	101325.197	101417.036	16.8178172	0	0	0	0	0	3
9	8	0	0.131256739	101462.835	101355.439	101325.197	101462.835	30.2422572	0	0	0	0	0	3
10	9	0	0.145840821	101488.531	101368.748	101325.197	101488.531	43.5514452	0	0	0	0	0	3
11	10	0	0.160424903	102688.469	101488.723	101325.197	102688.469	163.52603	0	0	0	0	0	3
12	10	0	0.175008985	104003.132	101698.257	101325.197	104003.132	373.060155	0	0	0	0	0	3
13	11	0	0.189593067	104944.201	101947.945	101325.197	104944.201	622.748165	0	0	0	0	0	3
14	12	0	0.20417715	105664.254	102213.396	101325.197	105664.254	888.198781	0	0	0	0	0	3
15	12	0	0.218761232	106266.033	102483.571	101325.197	106266.033	1158.37461	0	0	0	0	0	3
16	13	0	0.233345314	107047.967	102768.846	101325.197	107047.967	1443.64931	0	0	0	0	0	3
17	14	0	0.247929396	107727.348	103060.523	101325.197	107727.348	1735.3259	0	0	0	0	0	3
18	14	0	0.262513478	108337.67	103353.698	101325.197	108337.67	2028.50072	0	0	0	0	0	3
19	15	0	0.27709756	108902.856	103645.759	101325.197	108902.856	2320.56168	0	0	0	0	0	3
20	16	0	0.291681642	109436.602	103935.301	101325.197	109436.602	2610.10387	0	0	0	0	0	3
21	16	0	0.306265724	110184.604	104232.887	101325.197	110184.604	2907.68975	0	0	0	0	0	3
22	17	0	0.320849806	110888.507	104535.415	101325.197	110888.507	3210.21796	0	0	0	0	0	3
23	18	0	0.335433889	111562.775	104840.952	101325.197	111562.775	3515.75537	0	0	0	0	0	3
24	18	0	0.350017971	112214.864	105148.199	101325.197	112214.864	3823.00168	0	0	0	0	0	3
25	19	0	0.364602053	112850.733	105456.3	101325.197	112850.733	4131.10304	0	0	0	0	0	3
26	20	0	0.379186135	113759.664	105775.66	101325.197	113759.664	4450.46321	0	0	0	0	0	3
27	20	0	0.393770217	114634.391	106103.761	101325.197	114634.391	4778.56436	0	0	0	0	0	3
28	21	0	0.408354299	115476.99	106438.519	101325.197	115476.99	5113.32253	0	0	0	0	0	3
29	22	0	0.422938381	116285.49	106778.07	101325.197	116285.49	5452.87324	0	0	0	0	0	3
30	22	0	0.437522463	117056.586	107120.687	101325.197	117056.586	5795.49045	0	0	0	0	0	3
31	23	0	0.452106545	118106.405	107475.065	101325.197	118106.405	6149.86843	0	0	0	0	0	3
32	24	0	0.466690628	119055.083	107836.941	101325.197	119055.083	6511.74398	0	0	0	0	0	3
33	24	0	0.48127471	119906.683	108202.691	101325.197	119906.683	6877.49374	0	0	0	0	0	3
34	25	0	0.495858792	120668.996	108569.347	101325.197	120668.996	7244.14979	0	0	0	0	0	3
35	26	0	0.510442874	121350.471	108934.522	101325.197	121350.471	7609.32476	0	0	0	0	0	3
36	26	0	0.525026956	122197.095	109530.862	101325.529	122197.095	8205.49848	0	0	0	0	0	3
37	27	0	0.539611038	122889.948	110146.988	101326.173	122889.948	8821.35468	0	0	0	0	0	3
38	28	0	0.55419512	123454.586	110779.228	101327.203	123454.586	9453.20254	0	0	0	0	0	3
39	29	0	0.568779202	123915.102	111424.597	101328.771	123915.102	10098.022	0	0	0	0	0	3
40	29	0	0.583363284	124291.098	112080.663	101333.611	124291.098	10752.9157	0	0	0	0	0	3
41	30	0	0.597947366	124698.8	112748.24	101352.596	124698.8	11416.9427	0	0	0	0	0	3
42	31	0	0.612531449	124997.328	113423.804	101417.036	124997.328	12081.7891	0	0	0	0	0	3
43	31	0	0.627115531	125213.982	114103.717	101462.835	125213.982	12748.2774	0	0	0	0	0	3
44	32	0	0.641699613	125371.827	114786.831	101488.531	125371.827	13418.0823	0	0	0	0	0	3
45	33	0	0.656283695	125487.312	115472.51	102688.469	125487.312	13983.7872	0	0	0	0	0	3
46	33	0	0.670867777	125572.273	116126.333	104003.132	125572.273	14428.076	0	0	0	0	0	3
47	34	0	0.685451859	125634.812	116744.381	104944.201	125634.812	14796.436	0	0	0	0	0	3
48	35	0	0.700035941	125680.993	117336.861	105664.254	125680.993	15123.4652	0	0	0	0	0	3
49	35	0	0.714620023	125715.136	117909.743	106266.033	125715.136	15426.1717	0	0	0	0	0	3
50	36	0	0.729204105	125740.379	118466.153	107047.967	125740.379	15697.3069	0	0	0	0	0	3
51	37	0	0.743788188	125759.188	119000.759	107727.348	125759.188	15940.2366	0	0	0	0	0	3
52	37	0	0.75837227	125773.149	119516.354	108337.67	125773.149	16162.6561	0	0	0	0	0	3
53	38	0	0.772956352	125783.53	120014.807	108902.856	125783.53	16369.0483	0	0	0	0	0	3
54	38	0	0.787540434	125791.361	120497.335	109436.602	125791.361	16354.7584	0	0	0	0	0	3
55	39	0	0.802124516	125797.07	120964.777	110184.604	125797.07	15612.4658	0	0	0	0	0	3
56	40	0	0.816708598	125801.344	121410.97	110888.507	125801.344	14912.8372	0	0	0	0	0	3
57	40	0	0.83129268	125802.372	121837.08	111562.775	125802.372	14239.5965	0	0	0	0	0	3
58	41	0	0.845876762	125805.388	122244.012	112214.864	125805.388	13590.524	0	0	0	0	0	3
59	42	0	0.860460844	125807.415	122632.371	112850.733	125807.415	12956.6824	0	0	0	0	0	3
60	42	0	0.875044927	125809.009	123002.607	113759.664	125809.009	12049.3451	0	0	0	0	0	3
61	43	0	0.889629009	125810.38	123346.913	114634.391	125810.38	11175.989	0	0	0	0	0	3
62	43	0	0.904213091	125811.244	123666.252	115476.99	125811.244	10334.2543	0	0	0	0	0	3
63	44	0	0.918797173	125811.911	123961.536	116285.49	125811.911	9526.42113	0	0	0	0	0	3
64	45	0	0.933381255	125812.447	124233.734	117056.586	125812.447	8755.86069	0	0	0	0	0	3
65	45	0	0.947965337	125812.877	124483.914	118106.405	125812.877	7706.47181	0	0	0	0	0	3
66	46	0	0.962549419	125813.193	124704.108	119055.083	125813.193	6758.1102	0	0	0	0	0	3
67	46	0	0.977133501	125813.46	124897.205	119906.683	125813.46	5906.77688	0	0	0	0	0	3
68	47	0	0.991717583	125813.668	125065.976	120668.996	125813.668	5144.67155	0	0	0	0	0	3
69	47	0	1.00630167	125813.855	125212.971	121350.471	125813.855	4463.38476	734.630464	0	16.4	0	0	3
70	48	0	1.02088575	125814.005	125340.501	122197.095	125814.005	3616.91005	734.634947	0	20.3	0	0	3
71	49	0	1.03546983	125814.146	125443.845	122889.948	125814.146	2924.19755	734.63706	0	25.1	0	0	3
72	49	0	1.05005391	125814.267	125527.397	123454.586	125814.267	2359.6811	734.630464	0	31.1	0	0	3
73	50	0	1.06463799	125814.384	125594.82	123915.102	125814.384	1899.28116	734.630464	0	38.6	0	0	3
74	50	0	1.07922208	125814.47	125649.088	124291.098	125814.47	1523.3725	734.630464	0	48.2	0	0	3
75	51	0	1.09380616	125814.561	125692.615	124698.8	125814.561	1115.76087	734.630464	0	65.8	0	0	3
