Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0145840821	42.2126287	42.2126287	42.2126287	42.2126287	0	0	0	0	0	0	3
2	4	0	0.0291681642	34.1407406	38.1766846	34.1407406	42.2126287	4.03594407	0	0	0	0	0	3
3	5	0	0.0437522463	27.1085692	34.4873128	27.1085692	42.2126287	7.72531587	0	0	0	0	0	3
4	6	0	0.0583363284	22.9634182	31.6063392	22.9634182	42.2126287	10.6062895	0	0	0	0	0	3
5	6	0	0.0729204105	19.6595245	29.2169762	19.6595245	42.2126287	12.9956525	0	0	0	0	0	3
6	7	0	0.0875044927	14.7147548	26.7999393	14.7147548	42.2126287	15.4126894	0	0	0	0	0	3
7	8	0	0.102088575	8.57696817	24.1966577	8.57696817	42.2126287	18.015971	0	0	0	0	0	3
8	9	0	0.116672657	4.18144936	21.6947567	4.18144936	42.2126287	20.517872	0	0	0	0	0	3
9	9	0	0.131256739	2.89645118	19.6060561	2.89645118	42.2126287	22.6065726	0	0	0	0	0	3
10	10	0	0.145840821	2.3123241	17.8766829	2.3123241	42.2126287	24.3359458	0	0	0	0	0	3
11	11	0	0.160424903	0.651125674	16.3107231	0.651125674	42.2126287	25.9019056	0	0	0	0	0	3
12	12	0	0.175008985	0.506529665	14.993707	0.506529665	42.2126287	27.2189217	0	0	0	0	0	3
13	12	0	0.189593067	0.500844581	13.8788714	0.500844581	42.2126287	28.3337573	0	0	0	0	0	3
14	13	0	0.20417715	0.50030829	12.9232598	0.50030829	42.2126287	29.2893689	0	0	0	0	0	3
15	14	0	0.218761232	0.500053149	12.095046	0.500053149	42.2126287	30.1175827	0	0	0	0	0	3
16	15	0	0.233345314	0.499870425	11.3703475	0.499870425	42.2126287	30.8422812	0	0	0	0	0	3
17	15	0	0.247929396	0.499478364	10.7308846	0.499478364	42.2126287	31.4817441	0	0	0	0	0	3
18	16	0	0.262513478	0.498522495	10.1624201	0.498522495	42.2126287	32.0502086	0	0	0	0	0	3
19	17	0	0.27709756	0.499313677	9.65383553	0.498522495	42.2126287	32.5587932	0	0	0	0	0	3
20	17	0	0.291681642	0.499284841	9.196108	0.498522495	42.2126287	33.0165207	0	0	0	0	0	3
21	18	0	0.306265724	0.499505424	8.78198407	0.498522495	42.2126287	33.4306446	0	0	0	0	0	3
22	19	0	0.320849806	0.499101572	8.40548941	0.498522495	42.2126287	33.8071393	0	0	0	0	0	3
23	20	0	0.335433889	0.499141972	8.06173517	0.498522495	42.2126287	34.1508935	0	0	0	0	0	3
24	20	0	0.350017971	0.499202997	7.74662966	0.498522495	42.2126287	34.465999	0	0	0	0	0	3
25	21	0	0.364602053	0.499412853	7.45674099	0.498522495	42.2126287	34.7558877	0	0	0	0	0	3
26	22	0	0.379186135	0.499462008	7.18915334	0.498522495	42.2126287	35.0234754	0	0	0	0	0	3
27	23	0	0.393770217	0.499596598	6.94139198	0.498522495	42.2126287	35.2712367	0	0	0	0	0	3
28	24	0	0.408354299	0.499630024	6.71132905	0.498522495	42.2126287	35.5012997	0	0	0	0	0	3
29	25	0	0.422938381	0.499665941	6.49713377	0.498522495	42.2126287	35.7154949	0	0	0	0	0	3
30	25	0	0.437522463	0.499777858	6.29722191	0.498522495	42.2126287	35.9154068	0	0	0	0	0	3
31	26	0	0.452106545	0.499793404	6.11020808	0.498522495	42.2126287	36.1024206	0	0	0	0	0	3
32	27	0	0.466690628	0.49981724	5.93488337	0.498522495	42.2126287	36.2777453	0	0	0	0	0	3
33	28	0	0.48127471	0.499853425	5.77018549	0.498522495	42.2126287	36.4424432	0	0	0	0	0	3
34	29	0	0.495858792	0.499926476	5.61517788	0.498522495	42.2126287	36.5974508	0	0	0	0	0	3
35	29	0	0.510442874	0.499945761	5.46902839	0.498522495	42.2126287	36.7436003	0	0	0	0	0	3
36	30	0	0.525026956	0.499962837	4.27723793	0.498522495	34.1407406	33.6422181	0	0	0	0	0	3
37	31	0	0.539611038	0.49998125	3.31607338	0.498522495	27.1085692	26.6100467	0	0	0	0	0	3
38	32	0	0.55419512	0.499990675	2.55582828	0.498522495	22.9634182	22.4648957	0	0	0	0	0	3
39	33	0	0.568779202	0.499995143	1.91401619	0.498522495	19.6595245	19.161002	0	0	0	0	0	3
40	34	0	0.583363284	0.499997358	1.36660113	0.498522495	14.7147548	14.2162324	0	0	0	0	0	3
41	34	0	0.597947366	0.499998573	0.960465239	0.498522495	8.57696817	8.07844568	0	0	0	0	0	3
42	35	0	0.612531449	0.500003923	0.729694832	0.498522495	4.18144936	3.68292686	0	0	0	0	0	3
43	36	0	0.627115531	0.500002012	0.624510622	0.498522495	2.89645118	2.39792868	0	0	0	0	0	3
44	37	0	0.641699613	0.500015798	0.556041039	0.498522495	2.3123241	1.8138016	0	0	0	0	0	3
45	37	0	0.656283695	0.500009385	0.504260619	0.498522495	0.651125674	0.152603179	0	0	0	0	0	3
46	38	0	0.670867777	0.500007749	0.499942964	0.498522495	0.506529665	0.00800716983	0	0	0	0	0	3
47	39	0	0.685451859	0.500016398	0.499756871	0.498522495	0.500844581	0.00232208672	0	0	0	0	0	3
48	40	0	0.700035941	0.500002438	0.49973281	0.498522495	0.50030829	0.00178579574	0	0	0	0	0	3
49	40	0	0.714620023	0.500002867	0.499724083	0.498522495	0.500053149	0.00153065464	0	0	0	0	0	3
50	41	0	0.729204105	0.500002991	0.49972265	0.498522495	0.500016398	0.00149390328	0	0	0	0	0	3
51	42	0	0.743788188	0.50001225	0.499726702	0.498522495	0.500016398	0.00149390328	0	0	0	0	0	3
52	42	0	0.75837227	0.500002783	0.499741686	0.498522495	0.500016398	0.00149390328	0	0	0	0	0	3
53	43	0	0.772956352	0.500006073	0.499784074	0.499101572	0.500016398	0.000914825848	0	0	0	0	0	3
54	44	0	0.787540434	0.499999758	0.499803676	0.499101572	0.500016398	0.000914825848	0	0	0	0	0	3
55	45	0	0.802124516	0.500009207	0.499824372	0.499101572	0.500016398	0.000914825848	0	0	0	0	0	3
56	45	0	0.816708598	0.500001333	0.499838541	0.499101572	0.500016398	0.000914825848	0	0	0	0	0	3
57	46	0	0.83129268	0.500002898	0.499864293	0.499141972	0.500016398	0.000874426199	0	0	0	0	0	3
58	47	0	0.845876762	0.499997625	0.49988874	0.499202997	0.500016398	0.00081340061	0	0	0	0	0	3
59	47	0	0.860460844	0.500002216	0.499911575	0.499412853	0.500016398	0.000603544689	0	0	0	0	0	3
60	48	0	0.875044927	0.50000557	0.49992851	0.499462008	0.500016398	0.000554390378	0	0	0	0	0	3
61	49	0	0.889629009	0.499985191	0.499943458	0.499596598	0.500016398	0.000419799499	0	0	0	0	0	3
62	49	0	0.904213091	0.499997784	0.49995492	0.499630024	0.500016398	0.000386374023	0	0	0	0	0	3
63	50	0	0.918797173	0.499998865	0.499965459	0.499665941	0.500016398	0.000350456885	0	0	0	0	0	3
64	51	0	0.933381255	0.500003882	0.499975114	0.499777858	0.500016398	0.000238539893	0	0	0	0	0	3
65	51	0	0.947965337	0.500001852	0.499981514	0.499793404	0.500016398	0.000222993998	0	0	0	0	0	3
66	52	0	0.962549419	0.500006524	0.499987603	0.49981724	0.500016398	0.000199158305	0	0	0	0	0	3
67	53	0	0.977133501	0.499993447	0.499992638	0.499853425	0.500016398	0.000162972466	0	0	0	0	0	3
68	53	0	0.991717583	0.500001921	0.49999688	0.499926476	0.500016398	8.99223328e-05	0	0	0	0	0	3
69	54	0	1.00630167	0.499993225	0.499998787	0.499945761	0.500016398	7.06368815e-05	0.798301402	0	100	0	0	3
70	55	0	1.02088575	0.499999094	0.500000311	0.499962837	0.500016398	5.35612925e-05	0.798301402	0	100	0	0	3
