Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0145840821	293.742225	293.742225	293.742225	293.742225	0	0	0	0	0	0	3
2	4	0	0.0291681642	294.236989	293.989607	293.742225	294.236989	0.247382211	0	0	0	0	0	3
3	5	0	0.0437522463	294.676815	294.218676	293.742225	294.676815	0.476451437	0	0	0	0	0	3
4	6	0	0.0583363284	295.090485	294.436628	293.742225	295.090485	0.694403687	0	0	0	0	0	3
5	6	0	0.0729204105	295.516861	294.652675	293.742225	295.516861	0.910450152	0	0	0	0	0	3
6	7	0	0.0875044927	296.453879	294.952875	293.742225	296.453879	1.21065079	0	0	0	0	0	3
7	8	0	0.102088575	298.956498	295.524821	293.742225	298.956498	1.78259685	0	0	0	0	0	3
8	9	0	0.116672657	303.598831	296.534073	293.742225	303.598831	2.79184804	0	0	0	0	0	3
9	9	0	0.131256739	305.816541	297.565458	293.742225	305.816541	3.82323344	0	0	0	0	0	3
10	10	0	0.145840821	307.119036	298.520816	293.742225	307.119036	4.77859125	0	0	0	0	0	3
11	11	0	0.160424903	307.852246	299.369128	293.742225	307.852246	5.62690304	0	0	0	0	0	3
12	12	0	0.175008985	308.362176	300.118548	293.742225	308.362176	6.37632373	0	0	0	0	0	3
13	12	0	0.189593067	308.816733	300.787639	293.742225	308.816733	7.04541484	0	0	0	0	0	3
14	13	0	0.20417715	309.245001	301.391737	293.742225	309.245001	7.64951207	0	0	0	0	0	3
15	14	0	0.218761232	309.658392	301.942847	293.742225	309.658392	8.20062245	0	0	0	0	0	3
16	15	0	0.233345314	310.254212	302.462307	293.742225	310.254212	8.72008274	0	0	0	0	0	3
17	15	0	0.247929396	310.833926	302.954756	293.742225	310.833926	9.2125309	0	0	0	0	0	3
18	16	0	0.262513478	311.409927	303.424487	293.742225	311.409927	9.68226264	0	0	0	0	0	3
19	17	0	0.27709756	311.992215	303.87542	293.742225	311.992215	10.1331957	0	0	0	0	0	3
20	17	0	0.291681642	312.587226	304.311011	293.742225	312.587226	10.568786	0	0	0	0	0	3
21	18	0	0.306265724	313.478787	304.747571	293.742225	313.478787	11.0053468	0	0	0	0	0	3
22	19	0	0.320849806	314.38022	305.185419	293.742225	314.38022	11.4431944	0	0	0	0	0	3
