Iteration	CPUTime	PhysTime	Travels
1	4	0	0.0150188172
2	5	0	0.0300376343
3	5	0	0.0450564515
4	6	0	0.0600752687
5	6	0	0.0750940858
6	7	0	0.090112903
7	8	0	0.10513172
8	8	0	0.120150537
9	9	0	0.135169354
10	10	0	0.150188172
11	11	0	0.165206989
12	11	0	0.180225806
13	12	0	0.195244623
14	13	0	0.21026344
15	14	0	0.225282257
16	14	0	0.240301075
17	15	0	0.255319892
18	16	0	0.270338709
19	17	0	0.285357526
20	17	0	0.300376343
21	18	0	0.31539516
22	19	0	0.330413978
23	20	0	0.345432795
24	21	0	0.360451612
25	22	0	0.375470429
26	23	0	0.390489246
27	23	0	0.405508063
28	24	0	0.420526881
29	25	0	0.435545698
30	26	0	0.450564515
31	28	0	0.465583332
32	29	0	0.480602149
33	31	0	0.495620966
34	32	0	0.510639784
35	33	0	0.525658601
36	34	0	0.540677418
37	36	0	0.555696235
38	37	0	0.570715052
39	38	0	0.585733869
40	39	0	0.600752687
41	40	0	0.615771504
42	41	0	0.630790321
43	42	0	0.645809138
44	42	0	0.660827955
45	44	0	0.675846772
46	44	0	0.69086559
47	45	0	0.705884407
48	46	0	0.720903224
49	47	0	0.735922041
50	48	0	0.750940858
51	49	0	0.765959675
52	50	0	0.780978493
53	51	0	0.79599731
54	52	0	0.811016127
55	53	0	0.826034944
56	54	0	0.841053761
57	55	0	0.856072578
58	56	0	0.871091396
59	57	0	0.886110213
60	58	0	0.90112903
61	60	0	0.916147847
62	60	0	0.931166664
63	61	0	0.946185481
64	62	0	0.961204299
65	63	0	0.976223116
66	64	0	0.991241933
67	65	0	1.00626075
68	66	0	1.02127957
69	67	0	1.03629838
70	68	0	1.0513172
71	69	0	1.06633602
72	70	0	1.08135484
73	71	0	1.09637365
74	71	0	1.11139247
75	72	0	1.12641129
76	73	0	1.1414301
77	74	0	1.15644892
78	75	0	1.17146774
79	77	0	1.18648656
80	78	0	1.20150537
81	79	0	1.21652419
82	80	0	1.23154301
83	81	0	1.24656182
84	82	0	1.26158064
85	83	0	1.27659946
86	84	0	1.29161828
87	85	0	1.30663709
88	86	0	1.32165591
89	87	0	1.33667473
90	87	0	1.35169354
91	89	0	1.36671236
92	90	0	1.38173118
