Iteration	CPUTime	PhysTime	Travels
93	91	0	1.39675
94	92	0	1.41176881
95	93	0	1.42678763
96	94	0	1.44180645
97	96	0	1.45682527
98	97	0	1.47184408
99	98	0	1.4868629
100	99	0	1.50188172
101	100	0	1.51690053
102	101	0	1.53191935
103	102	0	1.54693817
104	103	0	1.56195699
105	104	0	1.5769758
106	105	0	1.59199462
107	106	0	1.60701344
108	107	0	1.62203225
109	108	0	1.63705107
110	109	0	1.65206989
111	110	0	1.66708871
112	110	0	1.68210752
113	112	0	1.69712634
114	113	0	1.71214516
115	114	0	1.72716397
116	115	0	1.74218279
117	117	0	1.75720161
118	118	0	1.77222043
119	118	0	1.78723924
120	119	0	1.80225806
121	120	0	1.81727688
122	121	0	1.83229569
123	122	0	1.84731451
124	123	0	1.86233333
125	124	0	1.87735215
126	125	0	1.89237096
127	126	0	1.90738978
128	126	0	1.9224086
129	127	0	1.93742741
130	128	0	1.95244623
131	129	0	1.96746505
132	131	0	1.98248387
133	132	0	1.99750268
134	133	0	2.0125215
135	135	0	2.02754032
136	135	0	2.04255913
137	136	0	2.05757795
138	137	0	2.07259677
139	138	0	2.08761559
140	139	0	2.1026344
141	140	0	2.11765322
142	141	0	2.13267204
143	142	0	2.14769085
144	143	0	2.16270967
145	144	0	2.17772849
146	145	0	2.19274731
147	146	0	2.20776612
148	147	0	2.22278494
149	148	0	2.23780376
150	149	0	2.25282257
151	151	0	2.26784139
152	152	0	2.28286021
153	153	0	2.29787903
154	154	0	2.31289784
155	155	0	2.32791666
156	157	0	2.34293548
157	159	0	2.35795429
158	160	0	2.37297311
159	161	0	2.38799193
160	163	0	2.40301075
161	163	0	2.41802956
162	165	0	2.43304838
163	166	0	2.4480672
164	168	0	2.46308602
165	169	0	2.47810483
166	171	0	2.49312365
167	173	0	2.50814247
168	175	0	2.52316128
169	178	0	2.5381801
170	180	0	2.55319892
171	183	0	2.56821774
172	184	0	2.58323655
173	185	0	2.59825537
174	187	0	2.61327419
175	189	0	2.628293
176	190	0	2.64331182
177	192	0	2.65833064
178	193	0	2.67334946
179	195	0	2.68836827
180	196	0	2.70338709
181	197	0	2.71840591
182	198	0	2.73342472
183	200	0	2.74844354
184	201	0	2.76346236
185	203	0	2.77848118
186	205	0	2.79349999
187	206	0	2.80851881
188	208	0	2.82353763
189	209	0	2.83855644
190	210	0	2.85357526
191	211	0	2.86859408
192	211	0	2.8836129
193	213	0	2.89863171
194	214	0	2.91365053
195	215	0	2.92866935
196	216	0	2.94368816
197	217	0	2.95870698
198	217	0	2.9737258
199	218	0	2.98874462
200	219	0	3.00376343
201	221	0	3.01878225
202	222	0	3.03380107
203	223	0	3.04881988
204	224	0	3.0638387
205	226	0	3.07885752
206	227	0	3.09387634
207	228	0	3.10889515
208	229	0	3.12391397
209	230	0	3.13893279
210	231	0	3.1539516
211	232	0	3.16897042
212	233	0	3.18398924
213	233	0	3.19900806
214	234	0	3.21402687
215	235	0	3.22904569
216	236	0	3.24406451
217	237	0	3.25908332
218	238	0	3.27410214
219	239	0	3.28912096
220	240	0	3.30413978
221	241	0	3.31915859
222	242	0	3.33417741
223	244	0	3.34919623
224	245	0	3.36421505
225	247	0	3.37923386
226	247	0	3.39425268
227	248	0	3.4092715
228	249	0	3.42429031
229	250	0	3.43930913
230	251	0	3.45432795
231	252	0	3.46934677
232	253	0	3.48436558
233	254	0	3.4993844
234	255	0	3.51440322
235	255	0	3.52942203
236	256	0	3.54444085
237	257	0	3.55945967
238	258	0	3.57447849
239	259	0	3.5894973
240	260	0	3.60451612
241	261	0	3.61953494
242	263	0	3.63455375
243	264	0	3.64957257
244	265	0	3.66459139
245	266	0	3.67961021
246	266	0	3.69462902
247	268	0	3.70964784
248	268	0	3.72466666
249	269	0	3.73968547
250	270	0	3.75470429
251	271	0	3.76972311
252	272	0	3.78474193
253	273	0	3.79976074
254	274	0	3.81477956
255	275	0	3.82979838
256	276	0	3.84481719
257	277	0	3.85983601
258	278	0	3.87485483
259	279	0	3.88987365
260	281	0	3.90489246
261	282	0	3.91991128
262	283	0	3.9349301
263	284	0	3.94994891
264	285	0	3.96496773
265	286	0	3.97998655
266	287	0	3.99500537
267	288	0	4.01002418
