Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0150188172	-5.8186867	-5.8186867	-5.8186867	-5.8186867	0	0	0	0	0	0	3
2	5	0	0.0300376343	-5.67336265	-5.74602467	-5.8186867	-5.67336265	0.072662023	0	0	0	0	0	3
3	5	0	0.0450564515	-5.52467957	-5.67224297	-5.8186867	-5.52467957	0.146443723	0	0	0	0	0	3
4	6	0	0.0600752687	-5.37011896	-5.59671197	-5.8186867	-5.37011896	0.221974727	0	0	0	0	0	3
5	6	0	0.0750940858	-5.22302379	-5.52197433	-5.8186867	-5.22302379	0.296712362	0	0	0	0	0	3
6	7	0	0.090112903	-5.06815296	-5.44633744	-5.8186867	-5.06815296	0.372349258	0	0	0	0	0	3
7	8	0	0.10513172	-4.95220114	-5.37574654	-5.8186867	-4.95220114	0.442940158	0	0	0	0	0	3
8	8	0	0.120150537	-4.85484117	-5.31063337	-5.8186867	-4.85484117	0.508053329	0	0	0	0	0	3
9	9	0	0.135169354	-4.78258612	-5.25196145	-5.8186867	-4.78258612	0.566725245	0	0	0	0	0	3
10	10	0	0.150188172	-4.670736	-5.19383891	-5.8186867	-4.670736	0.62484779	0	0	0	0	0	3
11	11	0	0.165206989	2.33270372	-4.50960776	-5.8186867	2.33270372	1.30907894	0	0	0	0	0	3
12	11	0	0.180225806	3.44508272	-3.84671689	-5.8186867	3.44508272	1.97196981	0	0	0	0	0	3
13	12	0	0.195244623	3.49637334	-3.28186379	-5.8186867	3.49637334	2.53682291	0	0	0	0	0	3
14	13	0	0.21026344	3.49801457	-2.79758677	-5.8186867	3.49801457	3.02109993	0	0	0	0	0	3
15	14	0	0.225282257	3.49987616	-2.3777559	-5.8186867	3.49987616	3.44093079	0	0	0	0	0	3
16	14	0	0.240301075	3.49921728	-2.01044508	-5.8186867	3.49987616	3.80824162	0	0	0	0	0	3
17	15	0	0.255319892	3.49793799	-1.68642255	-5.8186867	3.49987616	4.13226415	0	0	0	0	0	3
18	16	0	0.270338709	3.50147687	-1.39820591	-5.8186867	3.50147687	4.42048078	0	0	0	0	0	3
19	17	0	0.285357526	3.50156044	-1.14032347	-5.8186867	3.50156044	4.67836322	0	0	0	0	0	3
20	17	0	0.300376343	3.50164897	-0.90822485	-5.8186867	3.50164897	4.91046185	0	0	0	0	0	3
21	18	0	0.31539516	3.50183968	-0.698221778	-5.8186867	3.50183968	5.12046492	0	0	0	0	0	3
22	19	0	0.330413978	3.49729024	-0.507516686	-5.8186867	3.50183968	5.31117001	0	0	0	0	0	3
23	20	0	0.345432795	3.49819435	-0.333355336	-5.8186867	3.50183968	5.48533136	0	0	0	0	0	3
24	21	0	0.360451612	3.50222377	-0.17353954	-5.8186867	3.50222377	5.64514716	0	0	0	0	0	3
25	22	0	0.375470429	3.49610478	-0.0267537677	-5.8186867	3.50222377	5.79193293	0	0	0	0	0	3
26	23	0	0.390489246	3.49946686	0.108870102	-5.8186867	3.50222377	5.9275568	0	0	0	0	0	3
27	23	0	0.405508063	3.50214478	0.234546942	-5.8186867	3.50222377	6.05323364	0	0	0	0	0	3
28	24	0	0.420526881	3.51249554	0.351616535	-5.8186867	3.51249554	6.17030323	0	0	0	0	0	3
29	25	0	0.435545698	3.50726693	0.460432066	-5.8186867	3.51249554	6.27911876	0	0	0	0	0	3
30	26	0	0.450564515	3.49425693	0.561559562	-5.8186867	3.51249554	6.38024626	0	0	0	0	0	3
31	28	0	0.465583332	3.48871178	0.655983827	-5.8186867	3.51249554	6.47467052	0	0	0	0	0	3
32	29	0	0.480602149	3.48867868	0.744505541	-5.8186867	3.51249554	6.56319224	0	0	0	0	0	3
33	31	0	0.495620966	3.49492268	0.827851515	-5.8186867	3.51249554	6.64653821	0	0	0	0	0	3
34	32	0	0.510639784	3.49728659	0.906364311	-5.8186867	3.51249554	6.72505101	0	0	0	0	0	3
35	33	0	0.525658601	3.4971293	1.1803589	-5.67336265	3.51249554	6.92638357	0	0	0	0	0	3
36	34	0	0.540677418	3.48941484	1.44985236	-5.52467957	3.51249554	7.12209533	0	0	0	0	0	3
37	36	0	0.555696235	3.24031211	1.70764623	-5.37011896	3.51249554	7.3043582	0	0	0	0	0	3
38	37	0	0.570715052	3.46009606	1.96735843	-5.22302379	3.51249554	7.48933277	0	0	0	0	0	3
39	38	0	0.585733869	3.48282524	2.22341282	-5.06815296	3.51249554	7.66975026	0	0	0	0	0	3
40	39	0	0.600752687	3.49301535	2.47521189	-4.95220114	3.51249554	7.85095842	0	0	0	0	0	3
41	40	0	0.615771504	3.48236786	2.72328744	-4.85484117	3.51249554	8.03392081	0	0	0	0	0	3
42	41	0	0.630790321	3.46958281	2.96812344	-4.78258612	3.51249554	8.2200849	0	0	0	0	0	3
43	42	0	0.645809138	3.48561654	3.21130587	-4.670736	3.51249554	8.18323154	0	0	0	0	0	3
44	42	0	0.660827955	3.48584186	3.45120522	2.33270372	3.51249554	1.17979181	0	0	0	0	0	3
45	44	0	0.675846772	3.46522833	3.48451477	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
46	44	0	0.69086559	3.47706349	3.48545538	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
47	45	0	0.705884407	3.49008305	3.48527037	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
48	46	0	0.720903224	3.48555191	3.48490382	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
49	47	0	0.735922041	3.50990824	3.48519889	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
50	48	0	0.750940858	3.41455936	3.48270895	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
51	49	0	0.765959675	3.46241399	3.48166412	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
52	50	0	0.780978493	3.47722912	3.48095095	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
53	51	0	0.79599731	3.48137331	3.48035722	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
54	52	0	0.811016127	3.48674468	3.47991885	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
55	53	0	0.826034944	3.47578414	3.47915251	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
56	54	0	0.841053761	3.48874224	3.4789011	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
57	55	0	0.856072578	3.48551833	3.47852828	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
58	56	0	0.871091396	3.49213649	3.47823159	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
59	57	0	0.886110213	3.48882878	3.47801759	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
60	58	0	0.90112903	3.46425455	3.47698194	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
61	60	0	0.916147847	3.46656939	3.4759356	3.24031211	3.51249554	0.272183429	0	0	0	0	0	3
62	60	0	0.931166664	3.46453659	3.47452505	3.24031211	3.50990824	0.269596139	0	0	0	0	0	3
63	61	0	0.946185481	3.62179763	3.4778936	3.24031211	3.62179763	0.381485526	0	0	0	0	0	3
64	62	0	0.961204299	3.63506753	3.48203508	3.24031211	3.63506753	0.394755423	0	0	0	0	0	3
65	63	0	0.976223116	3.60718795	3.48551968	3.24031211	3.63506753	0.394755423	0	0	0	0	0	3
66	64	0	0.991241933	3.53891596	3.48699724	3.24031211	3.63506753	0.394755423	0	0	0	0	0	3
67	65	0	1.00626075	3.50471467	3.48728524	3.24031211	3.63506753	0.394755423	0.274792413	0	69.6	0	0	3
68	66	0	1.02127957	3.50250119	3.48743861	3.24031211	3.63506753	0.394755423	0.274792413	0	69.6	0	0	3
69	67	0	1.03629838	3.48242044	3.487006	3.24031211	3.63506753	0.394755423	0.274792413	0	69.6	0	0	3
70	68	0	1.0513172	3.48137153	3.48676943	3.24031211	3.63506753	0.394755423	0.274792413	0	69.6	0	0	3
71	69	0	1.06633602	3.43473202	3.49248767	3.41455936	3.63506753	0.220508168	0.274792413	0	100	0	0	3
72	70	0	1.08135484	3.45005258	3.49219227	3.41455936	3.63506753	0.220508168	0.274792413	0	100	0	0	3
73	71	0	1.09637365	3.4702015	3.49182098	3.41455936	3.63506753	0.220508168	0.274792413	0	100	0	0	3
74	71	0	1.11139247	3.48812375	3.49167711	3.41455936	3.63506753	0.220508168	0.274792413	0	100	0	0	3
75	72	0	1.12641129	3.48705597	3.491815	3.41455936	3.63506753	0.220508168	0.274792413	0	100	0	0	3
76	73	0	1.1414301	3.48996529	3.49241448	3.41455936	3.63506753	0.220508168	0.274792413	0	100	0	0	3
77	74	0	1.15644892	3.48722147	3.49246169	3.41455936	3.63506753	0.0412824416	0.274792413	0	100	0	0	3
78	75	0	1.17146774	3.4825598	3.49236515	3.41455936	3.63506753	0.0179626196	0.274792413	0	100	0	0	3
79	77	0	1.18648656	3.48502723	3.49294748	3.41455936	3.63506753	0.0184224293	0.274792413	0	100	0	0	3
80	78	0	1.20150537	3.46094806	3.49247349	3.41455936	3.63506753	0.0184224293	0.274792413	0	100	0	0	3
81	79	0	1.21652419	3.43210629	3.49076829	3.41455936	3.63506753	0.0184224293	0.274792413	0	100	0	0	3
82	80	0	1.23154301	3.45361731	3.48982904	3.41455936	3.63506753	0.0184224293	0.274792413	0	100	0	0	3
83	81	0	1.24656182	3.62527877	3.49322229	3.41455936	3.63506753	0.0186972454	0.274792413	0	100	0	0	3
84	82	0	1.26158064	3.68052428	3.50104479	3.43210629	3.68052428	0.0265197429	0.274792413	0	100	0	0	3
85	83	0	1.27659946	3.57189755	3.50426489	3.43210629	3.68052428	0.0297398476	0.274792413	0	100	0	0	3
86	84	0	1.29161828	3.53009616	3.50581981	3.43210629	3.68052428	0.0312947605	0.274792413	0	100	0	0	3
87	85	0	1.30663709	3.51710476	3.50687073	3.43210629	3.68052428	0.0323456856	0.274792413	0	100	0	0	3
88	86	0	1.32165591	3.49471729	3.50710522	3.43210629	3.68052428	0.032580174	0.274792413	0	100	0	0	3
89	87	0	1.33667473	3.47217649	3.50699911	3.43210629	3.68052428	0.032580174	0.274792413	0	100	0	0	3
90	87	0	1.35169354	3.43322974	3.50536639	3.43210629	3.68052428	0.032580174	0.274792413	0	100	0	0	3
91	89	0	1.36671236	3.4781447	3.50514952	3.43210629	3.68052428	0.032580174	0.274792413	0	100	0	0	3
92	90	0	1.38173118	3.47524135	3.5046526	3.43210629	3.68052428	0.032580174	0.274792413	0	100	0	0	3
93	91	0	1.39675	3.48460701	3.50452844	3.43210629	3.68052428	0.032580174	0.274792413	0	100	0	0	3
94	92	0	1.41176881	3.48832285	3.50523633	3.43210629	3.68052428	0.032580174	0.274792413	0	100	0	0	3
95	93	0	1.42678763	3.48950176	3.50591081	3.43210629	3.68052428	0.032580174	0.274792413	0	100	0	0	3
96	94	0	1.44180645	3.48519584	3.50651843	3.43210629	3.68052428	0.0292116241	0.274792413	0	100	0	0	3
97	96	0	1.45682527	3.48332042	3.50244557	3.43210629	3.68052428	0.0250701359	0.274792413	0	100	0	0	3
98	97	0	1.47184408	3.4551087	3.49715267	3.43210629	3.68052428	0.021585543	0.274792413	0	100	0	0	3
99	98	0	1.4868629	3.45462079	3.4926654	3.43210629	3.68052428	0.0203357871	0.274792413	0	100	0	0	3
100	99	0	1.50188172	3.48271368	3.49101239	3.43210629	3.68052428	0.0203357871	0.274792413	0	100	0	0	3
101	100	0	1.51690053	3.56067379	3.49265825	3.43210629	3.68052428	0.0203357871	0.274792413	0	100	0	0	3
102	101	0	1.53191935	3.63506719	3.49655725	3.43210629	3.68052428	0.0203357871	0.274792413	0	100	0	0	3
103	102	0	1.54693817	3.59443705	3.49985185	3.43210629	3.68052428	0.0203357871	0.274792413	0	100	0	0	3
104	103	0	1.56195699	3.55693055	3.50207418	3.43210629	3.68052428	0.0172761794	0.274792413	0	100	0	0	3
105	104	0	1.5769758	3.51399559	3.50440546	3.43210629	3.68052428	0.0172761794	0.274792413	0	100	0	0	3
106	105	0	1.59199462	3.48993115	3.50557836	3.43210629	3.68052428	0.0172761794	0.274792413	0	100	0	0	3
107	106	0	1.60701344	3.47378944	3.50568388	3.43210629	3.68052428	0.0172761794	0.274792413	0	100	0	0	3
108	107	0	1.62203225	3.4319451	3.50403157	3.4319451	3.68052428	0.0172761794	0.274792413	0	100	0	0	3
