Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	4	0	0.0150188172	293.290975	293.290975	293.290975	293.290975	0	0	0	0	0	0	3
2	5	0	0.0300376343	293.396132	293.343554	293.290975	293.396132	0.0525783509	0	0	0	0	0	3
3	5	0	0.0450564515	293.509695	293.398934	293.290975	293.509695	0.107958843	0	0	0	0	0	3
4	6	0	0.0600752687	293.623825	293.455157	293.290975	293.623825	0.164181562	0	0	0	0	0	3
5	6	0	0.0750940858	293.727629	293.509651	293.290975	293.727629	0.218676004	0	0	0	0	0	3
6	7	0	0.090112903	293.808873	293.559522	293.290975	293.808873	0.268546313	0	0	0	0	0	3
7	8	0	0.10513172	293.865917	293.603293	293.290975	293.865917	0.312317071	0	0	0	0	0	3
8	8	0	0.120150537	293.906366	293.641177	293.290975	293.906366	0.350201279	0	0	0	0	0	3
9	9	0	0.135169354	293.952856	293.675808	293.290975	293.952856	0.384832277	0	0	0	0	0	3
10	10	0	0.150188172	294.012793	293.709506	293.290975	294.012793	0.418530785	0	0	0	0	0	3
11	11	0	0.165206989	297.483663	294.052611	293.290975	297.483663	0.761635929	0	0	0	0	0	3
12	11	0	0.180225806	298.225539	294.400355	293.290975	298.225539	1.10937992	0	0	0	0	0	3
13	12	0	0.195244623	298.277088	294.698566	293.290975	298.277088	1.40759009	0	0	0	0	0	3
14	13	0	0.21026344	298.319509	294.957204	293.290975	298.319509	1.66622887	0	0	0	0	0	3
15	14	0	0.225282257	298.335264	295.182408	293.290975	298.335264	1.89143286	0	0	0	0	0	3
16	14	0	0.240301075	298.33785	295.379623	293.290975	298.33785	2.08864793	0	0	0	0	0	3
17	15	0	0.255319892	298.39009	295.55671	293.290975	298.39009	2.26573419	0	0	0	0	0	3
18	16	0	0.270338709	298.346204	295.711682	293.290975	298.39009	2.4207061	0	0	0	0	0	3
